,Unnamed: 0,msno,song_id,source_system_tab,source_screen_name,source_type,target,name,isrc,city,bd,gender,registered_via,registration_init_time,expiration_date
10,10,uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,t0aT90DlS1TGncgnKoL0SvfAWEr3Dl72QBVcokmKfLc=,my library,Local playlist more,local-library,1,We Are Giants,QMF921450114,15,26,male,9,20111107,20180304
11,11,uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,8FGjC9W+7F8WjheGZPAwX9RH3+nWSO7DzjM6EB6naOI=,my library,Local playlist more,local-library,1,輕輕 (Lightly),TWK231507907,15,26,male,9,20111107,20180304
12,12,TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,u6/Pb7X4u7KU4gXrBgGqt8RlRrNNFLn03tLAHyxRxwA=,my library,Local playlist more,top-hits-for-artist,0,手心的薔薇 (Beautiful) feat. G.E.M.鄧紫棋,TWA531480006,1,0,,9,20150806,20170930
13,13,3g0bC24RD7QUeALY1IF/e8L6X3fHG298ZFIsCEG9T9Y=,TYhx9eqWklddkLQlApQ5MS9jJCO4H3JHdpISZ3kZSRE=,my library,Local playlist more,local-library,1,給我一首歌的時間,TWK970801502,5,0,,9,20110221,20170922
14,14,TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,IgMar/mVrJQ+ODFPytDf7jwQMmR09+slyZUdVylRFLc=,my library,Local playlist more,local-playlist,1,關鍵詞 (The Key),TWA531576504,1,0,,9,20150806,20170930
15,15,3g0bC24RD7QUeALY1IF/e8L6X3fHG298ZFIsCEG9T9Y=,6HofPS0v2MVFsL10yCN7dXUL+gUOnvsD35vx3HmRbdE=,my library,Local playlist more,local-library,1,You Are My Everything - Gummy,,5,0,,9,20110221,20170922
16,16,TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,a4TbK5V15pj3YZUOGa9h2U3t0OsE+3aiFw41mNlcgcw=,my library,My library,local-playlist,1,孤獨的總和 (Accumulated Loneliness),TWA211328806,1,0,,9,20150806,20170930
17,17,TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,My library,local-playlist,1,春天裡,TWUM71600101,1,0,,9,20150806,20170930
18,18,TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,4ZISq5iNKgBGGW2OvKBBzBsYXRohcJYFkqx3uVFCAuA=,my library,Local playlist more,top-hits-for-artist,0,因你而在 (You N Me),TWA531398014,1,0,,9,20150806,20170930
19,19,uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,9yi9yLGK5Soiz1IO3iosDsx5O3hutglBHl1JbVHLjLw=,my library,Local playlist more,local-library,1,雨天 (雨天),TWA530617601,9,27,female,9,20130912,20170912
20,20,uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,VqOqrfMxAOMwJpyfUSyWuPmHpMtSuzvrCvHgahApvDU=,my library,Local playlist more,local-library,1,EGO-HOLIC戀我癖 (EGO-HOLIC),TWUM71600076,9,27,female,9,20130912,20170912
21,21,uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,H0pfaBjENAn1eYhCA5+rurd8AnnJF17J512SKZBfvfU=,my library,Local playlist more,local-library,1,愛死你,TWA470326002,9,27,female,9,20130912,20170912
22,22,uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,lrgjGNzyCHrMPfLKNMV0NBh9hdNTpzoj5rOZ27tXMLo=,my library,Local playlist more,local-library,1,麥來亂,TWA450586306,9,27,female,9,20130912,20170912
23,23,pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,gAsKceTstGBoPKWib6Zp0h8m15fH/qFwlfWsr24KFRg=,my library,Online playlist more,online-playlist,1,Imagine,GBAYE1000769,15,18,male,4,20151220,20170930
24,24,pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,n2mNwyApX16qOdG4ye2ehf5Cp5oevcahFh27Jyq/7JQ=,my library,Online playlist more,online-playlist,0,Give Peace A Chance,GBAYE1000933,15,18,male,4,20151220,20170930
25,25,pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,WHEVGSHBtJBVy+HjH84qRtj0KcNtYd+2pUO4xHMAJXk=,my library,Online playlist more,online-playlist,0,You've Got To Hide Your Love Away,GBAYE0601467,15,18,male,4,20151220,20170930
26,26,pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,TLUDFNRpLCG/DmqLiXBc4Udypwucj4XmKtotIUO6nXM=,my library,Online playlist more,online-playlist,0,Across The Universe,USSM19803669,15,18,male,4,20151220,20170930
27,27,Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,AVwT7l/VL0pOXpH4PkP9Cqh0Y9PJ1B0BHctZO9+lnmk=,my library,Local playlist more,local-library,1,Baby,USUM70919263,1,0,,7,20101205,20180104
28,28,Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,j15oN8gA26II4cebHvxc+rIIjzyBDzjHi9rYx7oSvrQ=,my library,Local playlist more,local-library,1,安靜了,TWD950806109,1,0,,7,20101205,20180104
29,29,ULaS7iTeNVqlI45nQEFyye+QRhPy1TvABDDu8AXool0=,CLEDgLdGvXhoXod/9uzm9UwECV5IzqWOrXHtHXpq5+E=,my library,Local playlist more,local-library,1,Intro,TWA211630901,13,34,male,9,20100812,20170912
30,30,Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,TE5ASd0CqSedf7+LBnqf5Z8Kfm9X9wfj8t2IXZNuDOw=,my library,Local playlist more,local-library,1,宇宙小姐,TWD950806103,1,0,,7,20101205,20180104
31,31,Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,/2CWoqYh5/DUNi48voCXqA9V347liPy2WpEJj6CZro0=,my library,Local playlist more,local-library,1,沿海公路的出口,TWD950806104,1,0,,7,20101205,20180104
32,32,ULaS7iTeNVqlI45nQEFyye+QRhPy1TvABDDu8AXool0=,2bj5oqCPPzY6E0TPgwySkfj8/l/c+DVQBqnABx0qPSk=,my library,Local playlist more,local-library,1,史詩,TWI451300037,13,34,male,9,20100812,20170912
33,33,HtdItmpx36u5trW7la7gelIcwUiz/DvlhIgvdK1USUc=,56GgUdZtxpOVaQWIIPK2gFBiyJxYjbC8gPMPU1stoL8=,search,Album more,album,1,我們,TWUM71600045,1,0,,7,20140412,20171005
34,34,RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,K2jkXlozk/+HPjs1RyDlBUHJx2Ky+ITavwBXPcFqtHY=,my library,Local playlist more,local-library,0,Impossible,GBHMU1200338,21,20,female,7,20111028,20170930
35,35,RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,P6dllZw/ZnO7qcufxOKHAXGwlCvkmm4djJT/82d3ihA=,my library,Local playlist more,local-library,0,Better Man,BEUM71100342,21,20,female,7,20111028,20170930
36,36,RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,1ysr+JKN0mCCeW0UqWIj2Vlxz3N5aQOEW5mkSW/OBPA=,my library,Local playlist more,local-library,0,Shine,GBUM71501271,21,20,female,7,20111028,20170930
37,37,RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,8YOEmwK8kgfdH+Qh5FgH8RzDYs2g957lo0RUsHX2t2g=,my library,Local playlist more,local-library,1,Te Voy A Amar,ARUM71100168,21,20,female,7,20111028,20170930
38,38,dEK1cVfdGaKd5ihXxCzf1HbZjR8+JdTYvfHFEnNz3cQ=,cL24vvYHrkz4YjAzU4OtrjGXUz1wBNWFqC/PQXMKIY0=,my library,Local playlist more,local-library,1,一千萬次的淚水,TWD631313605,13,19,male,4,20151014,20171209
39,39,GdtjMBKkoLch5LCAHQdRiA0HJlngEEJzGNfkQjGmqQw=,MM+huiuccu4p5mNVhWxWgJreIsRWuEmvbvpCu0q79XM=,my library,Local playlist more,local-library,1,有閒返來坐,TWN551200001,15,27,male,7,20101123,20171013
40,40,HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,Prbb1SisBE80rnDae36BPKvkulEiXMssQvBfVCsHr38=,my library,Local playlist more,local-library,1,SHERO,TWD951006101,15,26,female,9,20060616,20180516
41,41,HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,9Vkmwza4MO1p/usHFkghvpmatny5xAxyZ51bC49AaYU=,my library,Local playlist more,local-library,1,我還在原地哭,TWD631416608,15,26,female,9,20060616,20180516
42,42,HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,vM08WBQRO9eZo1K+qTJmjuw2IqbuA3L65ojbGwB4GI0=,my library,Local playlist more,local-library,0,零,TWA470441001,15,26,female,9,20060616,20180516
43,43,HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,lBYsvASSajQQPfE/o65Qy3FYsMHhbCmynFANAP29nks=,my library,Local playlist more,local-library,1,玩愛之徒 (Love Player),TWA531042203,15,26,female,9,20060616,20180516
44,44,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,DLBDZhOoW7zd7GBV99bi92ZXYUS26lzV+jJKbHshP5c=,my library,Local playlist more,local-playlist,1,演員,CNA651500229,1,0,,7,20130925,20171001
45,45,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,FknKo37OUvSxVgBrw72Bi8gGcWEZVF8MY3YyzmGx6ag=,my library,Local playlist more,local-playlist,1,如果雲知道,TWA559610002,1,0,,7,20130925,20171001
46,46,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,T86YHdD4C9JSc274b1IlMkLuNdz4BQRB50fWWE7hx9g=,my library,Local playlist more,local-playlist,1,告白氣球,TWK971601308,1,0,,7,20130925,20171001
47,47,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,skehue/d/R59G71dXYpntDwdjRRPlweN3JE8g40TgZU=,my library,Local playlist more,local-playlist,1,我過的很好,,1,0,,7,20130925,20171001
48,48,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,L6w2d0w84FjTvFr+BhMfgu7dZAsGiOqUGmvvxIG3gvQ=,my library,Local playlist more,local-playlist,1,好好 (想把你寫成一首歌) (Song About You),TWK231610203,1,0,,7,20130925,20171001
49,49,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,WL4ipO3Mx9pxd4FMs69ha6o9541+fLeOow67Qkrfnro=,my library,Local playlist more,local-playlist,1,夜空中最亮的星,HKI111600009,1,0,,7,20130925,20171001
50,50,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,3DU6F6k6dFSdoQa2tsia5spMXFCxWh4JJdA3OxSo3rM=,my library,Local playlist more,local-playlist,1,你啊你啊 (only you),TW2151620008,1,0,,7,20130925,20171001
51,51,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,reXuGcEWDDCnL0K3Th//3DFG4S1ACSpJMzA+CFipo1g=,my library,Local playlist more,local-playlist,1,帥到分手,TWAG11600306,1,0,,7,20130925,20171001
52,52,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,+Sm75wnBf/sjm/QMUAFx8N+Ae04kWCXGlgH50tTeM6c=,my library,Local playlist more,local-playlist,1,迷途羔羊,TWA451699902,1,0,,7,20130925,20171001
53,53,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,IXP1a2o3NL8WU4WK1X0WJAKaSW+LgGRpPDn4Gt1HrV8=,my library,Local playlist more,local-playlist,1,在沒有你以後 (feat. 張智成) (Without You),TWA531657210,1,0,,7,20130925,20171001
54,54,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,PgRtmmESVNtWjoZHO5a1r21vIz9sVZmcJJpFCbRa1LI=,my library,Local playlist more,local-playlist,1,謝謝妳愛我 (Thanks For Your Love),TWA531657203,1,0,,7,20130925,20171001
55,55,0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,u6/Pb7X4u7KU4gXrBgGqt8RlRrNNFLn03tLAHyxRxwA=,my library,Local playlist more,local-playlist,1,手心的薔薇 (Beautiful) feat. G.E.M.鄧紫棋,TWA531480006,1,0,,7,20130925,20171001
56,56,1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,iXbxmEpOCNBNj9ty45gPuwtYvUqQBOKNsXANX25joiY=,my library,Local playlist more,local-playlist,1,LUCKY,KRA301300169,13,26,female,3,20130405,20171003
57,57,1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,U/pC2dgvSHe4/rEyrhe4YwIHyaHlbNRMtxAKuuWrmlY=,my library,Local playlist more,local-playlist,1,Run,,13,26,female,3,20130405,20171003
58,58,1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,lIVEEZgY5lPwvzf6iu3Zz7HHNRfLUpwv6JysYBwBjMM=,my library,Local playlist more,local-playlist,1,Drop That,JPB601504018,13,26,female,3,20130405,20171003
59,59,1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,IPeg6L8QvmfJTuOFNa4iPnk93WzyceWdxnVDCreoEpE=,my library,Local playlist more,local-playlist,1,LIGHTSABER,KRA301500665,13,26,female,3,20130405,20171003
60,60,B/wRgN7GRfDNGvsvjoA97MIFvlNkx52eMz8rGhK/P9M=,1R5HlX765HuV3uvLmJ0FqUQmlAmjdcqF0GbOqf9qUGs=,my library,Local playlist more,local-library,1,World Championship Finale 2,USUM71504650,13,28,male,3,20140626,20170913
61,61,B/wRgN7GRfDNGvsvjoA97MIFvlNkx52eMz8rGhK/P9M=,hQtwwQhSamcIwNl/1JDR3B77oF2QxwB95paAKAqsIAo=,my library,Local playlist more,local-library,1,World Championship Finale 1,USUM71504649,13,28,male,3,20140626,20170913
62,62,FE+vOBWbYW+sl9YMZR0jYIzZVonsr+G7NA+rDApwnvw=,LBFRdBacp7Ob6Ada2N7uCQ47DhiNT2KjUtwOA7oSm7I=,discover,Discover Feature,online-playlist,1,迷些路 (Lost On The Way),TWA451601607,1,0,,7,20130820,20170930
63,63,8Nlr1MyF+XUilQ4z9Cv6Re9qQIYwa5rCi90flRoyDv0=,aaosaazotfFOGS0pdK4RLNmLtezYXub2Gb6T6YGGObU=,discover,Unknown,online-playlist,0,Last Night,TWA139500110,15,41,male,3,20140524,20171002
64,64,eOz0KfyF/jZ2hI84e54q1j0kd+TrF7mPe+ppQiz/Ues=,vTFRLU6zCXTVzFRL24gzZO3MsD5nlc/kKtjEuj29+h0=,my library,Local playlist more,local-library,1,我比誰都清楚,HKC339800151,5,32,female,4,20160623,20170925
65,65,8Nlr1MyF+XUilQ4z9Cv6Re9qQIYwa5rCi90flRoyDv0=,+u3iqLNaEoGlLwRbnbU0kM3CjctokMh1MPRFLrrzuQQ=,discover,Unknown,online-playlist,0,別這樣我會哭,TWA139500109,15,41,male,3,20140524,20171002
66,66,zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,4weA5ndJkDSo7zM38+4t7NT+CJ/5omnZYVHf/IDe+Qk=,my library,Local playlist more,local-library,1,會呼吸的痛,TWK230700904,1,0,,7,20130822,20171007
67,67,zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,/56EZoEb7TAm0G8GLJpA2Uzgg6QiJcYDwvI08I+w8JA=,my library,Local playlist more,local-library,1,心痛,TWA379400301,1,0,,7,20130822,20171007
68,68,zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,yvaF60S5mJQ1SOk2vfNeZ9WFeUr7lWMq37OPExyeoaU=,my library,Local playlist more,local-library,1,等你等到我心痛,TWB479303011,1,0,,7,20130822,20171007
69,69,zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,SJHL9vlSHU06VO8w32meVip35heQuc2gsLGWswru/xs=,my library,Local playlist more,local-library,1,甲你攬牢牢,,1,0,,7,20130822,20171007
70,70,eOz0KfyF/jZ2hI84e54q1j0kd+TrF7mPe+ppQiz/Ues=,20e8yHxKn8p+G2zFcxC/3UDM5rYFCIoozlTCUB0YumU=,my library,Local playlist more,local-library,1,要知道你的感覺,HKC339800016,5,32,female,4,20160623,20170925
71,71,mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,Xy3cGOjm2V1MF7SZGA36NEC7b46NVBXvLnBDWXOl2FE=,my library,Local playlist more,local-library,1,Bokurano Yume,JPU901600187,1,0,,7,20160304,20171003
72,72,mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,GFWjz4apE8zMiXe6wc0qCjr+DbK9BFkwo/rr+FsNm+g=,my library,Local playlist more,local-library,0,癡情男子漢,,1,0,,7,20160304,20171003
73,73,mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,n8xoFetUt29W6E4Gxnz8SGKewVBDSTtLdZ913mb4Hzg=,my library,Local playlist more,local-library,1,Radioactive,USUM71201074,1,0,,7,20160304,20171003
74,74,mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,7HDcHFAVdw76mL4Z5hbz300+s1oSUstaOfmaLw0+Dfo=,my library,Local playlist more,local-library,1,Diamonds,USUM71211793,1,0,,7,20160304,20171003
75,75,zcCi+lR4SecPMBbZEwj4UUBrWhgBUbxx+t4O5KA28K8=,3RnXpHSbz61HoSCJEB7B9Sn3bqKPUvgYVwM8ceOEd1M=,discover,Online playlist more,top-hits-for-artist,1,可以了,HKJ631402008,5,0,,4,20151212,20180308
76,76,CL91UAbjYfhlEg1Yjh10QStr0liu9B/yImCGHlpiEMI=,2fhzNUTd3X1n8IKBAd0xM2HwOuDIc0Qb6ZcVQ3OmqX4=,my library,My library,local-playlist,1,愛情的盡頭,,22,28,female,7,20130707,20180709
77,77,yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,RAVcXkNI6tqrsArzBxA9JcNnv/ftDwqDwBDaGqIzXyA=,my library,Local playlist more,local-library,1,Gobaeghabnida,TWA531100324,13,36,female,9,20110623,20171006
78,78,yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,ziioVtzot6FMViJgAMZliplvo7EmX3ecPuoZHXTr2Zo=,my library,Local playlist more,local-library,1,PUPPY,JPWP01571058,13,36,female,9,20110623,20171006
79,79,Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,JZ+4w2HWMQiyCErXdD8YMi7okU40lobADjHq9/TDFvg=,my library,Local playlist more,local-library,1,水災,TWP531200604,1,0,,7,20130902,20170914
80,80,Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,CUPwUKwyAEXwoQw8ik8EyfskXSvEUpu3Pb3mS2yFXoI=,my library,Local playlist more,local-library,1,一生最愛的人,,1,0,,7,20130902,20170914
81,81,yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,pRjhEkL8Da3+YpKh9SYcmYLKG1lYFy4ixcYy0h1Pc30=,my library,Local playlist more,local-library,1,Stand By Me,TWA531602175,13,36,female,9,20110623,20171006
82,82,Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,boxeSDj5nrUIRE0JoCMKUBxk/c4dsKf49yacI6WPHoc=,my library,Local playlist more,local-library,1,忠孝東路走九遍,,1,0,,7,20130902,20170914
83,83,Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,6i95Pie609AyCL86KYyXQkECKYudj7BnhRS5KRhJC6o=,my library,Local playlist more,local-library,1,堅強的理由,TWA459801804,1,0,,7,20130902,20170914
84,84,yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,lsvDNSX7YzpRBphxelN46v3wV2zXsJflqDOSVKrCOOM=,my library,Local playlist more,local-library,1,安心的溫柔,,13,36,female,9,20110623,20171006
85,85,doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,34IXh04bdV42ClAF+3lHsAjNQEA9yljeyamS6+Wv1BQ=,my library,Local playlist more,local-playlist,1,Nandemonaiya,JPPO01618977,1,0,,7,20110611,20170911
86,86,rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,U03If8ekFQ69MIodnGZOgaFV9vbFpwDQZQYCf5To5fo=,discover,Online playlist more,online-playlist,0,Secret,KRA301500734,1,0,,4,20161130,20161203
87,87,doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,NDtSbLpLMkWyBAhfRimU73D/pKVWE6Z3Q2IEdmFuWNk=,my library,Local playlist more,local-playlist,1,Sparkle,JPPO01618974,1,0,,7,20110611,20170911
88,88,rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,yv4Nasbw8r06KtMHzaEMF/SrpYPv+V73JrwFClUoRQ0=,discover,Online playlist more,online-playlist,0,Rain,KRA301500733,1,0,,4,20161130,20161203
89,89,rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,0cHV60MVnGOKMb/GRHWEExfpahkCwIZQ0wxdYBJfoqE=,discover,Online playlist more,online-playlist,0,姐 (Pretty Woman),TWD951564102,1,0,,4,20161130,20161203
90,90,rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,ux6db2W4f9nhapYVkSg81Uzhxnw0vf44cFWHSd2EuJo=,discover,Online playlist more,online-playlist,1,Don't Wanna Know,USUM71609975,1,0,,4,20161130,20161203
91,91,rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,IKMFuL0f5Y8c63Hg9BXkeNJjE0z8yf3gMt/tOxF4QNE=,discover,Online playlist more,online-playlist,1,Closer,USQX91601347,1,0,,4,20161130,20161203
92,92,rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,fCCmIa0Y5m+MCGbQga31MOLTIqi7ddgXvkjFPmfslGw=,discover,Online playlist more,online-playlist,0,默,TWUM71600075,1,0,,4,20161130,20161203
93,93,doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,HbqkjwnnIt6BtfmvVyXTdPHAsFCYxU74sv8+s1lfIwE=,my library,Local playlist more,local-playlist,1,Zenzenzense,JPPO01617097,1,0,,7,20110611,20170911
94,94,doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,wVUeoaIQXKvfVyfhDmbASVl049NL7hVvfOo7vYoSyMQ=,my library,Local playlist more,local-playlist,1,Dream Lantern,JPPO01618952,1,0,,7,20110611,20170911
95,95,Eaq21N7ijazDjnqU5v1jjWewJopGxgZxkKr4GIq7JTs=,BwDDym6Tp7EnGudWBGJyjONZeX0/4ndu5PETiPWzav8=,my library,Local playlist more,local-library,1,離心力 (Centrifugal Force),TWJ011600802,5,27,male,9,20100903,20171023
96,96,pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,b+OlR6qF0gzG++m+sYrOnf7bJF6WmXv51xGLBpmugxg=,my library,Local playlist more,local-library,1,你給我聽好,HKJ631402010,12,46,female,9,20100916,20170930
97,97,pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,9tNXaK/yKJfTcoWLRFw6HXplizDxq4bFvzs3scmesCU=,my library,Local playlist more,local-library,1,聽見下雨的聲音,TWK971401112,12,46,female,9,20100916,20170930
98,98,pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,dKsoBHe5cVhyQSU8CimXs4ysaAky4RNgBwIafHaLkik=,my library,Local playlist more,local-library,1,很久很久以後 (Some Time After),TWA211630803,12,46,female,9,20100916,20170930
99,99,pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,3W6VBSN09a/Vh9w1Fwmdus4H4xxmde/yu0RBgMcTtZM=,my library,Local playlist more,local-library,1,心內的話,,12,46,female,9,20100916,20170930
